Date,Adj Close Chevron stock,Adj Close Exxonmobil stock,Price S&P Oil,Price treasury,Price WTI crude oil,,
20-03-2015,74.338379,57.492363,"7,311.00",2.117,43.96,,
23-03-2015,73.567429,58.09763,"7,465.80",2.247,46.57,,
24-03-2015,72.372795,57.478783,"7,558.60",2.192,47.45,,
25-03-2015,73.393768,57.709991,"7,393.70",2.121,47.46,,
26-03-2015,73.102066,57.342773,"7,528.60",2.109,49.21,,
27-03-2015,72.428345,56.839535,"7,501.40",2.11,51.43,,
30-03-2015,74.248093,58.233646,"7,623.80",2.118,48.87,,
31-03-2015,72.914543,57.805199,"7,714.70",2.074,48.59,,
01-04-2015,72.782585,57.437977,"7,986.70",2.052,47.6,,
02-04-2015,73.122932,57.329166,"8,019.30",1.918,49.88,,
06-04-2015,74.261993,57.893604,"7,781.90",1.97,49.14,,
07-04-2015,75.387169,58.315258,"7,924.10",1.932,49.14,,
08-04-2015,74.081413,57.165943,"7,966.10",1.909,52.07,,
09-04-2015,74.282814,57.567162,"7,901.30",1.873,53.97,,
10-04-2015,74.255051,58.186028,"8,149.40",1.927,50.42,,
13-04-2015,73.970245,58.036427,"8,450.50",1.996,50.85,,
14-04-2015,75.595528,58.913677,"8,393.70",1.96,51.8,,
15-04-2015,76.685997,59.899788,"8,248.70",1.953,51.93,,
16-04-2015,76.512344,59.661762,"8,295.90",1.927,53.29,,
17-04-2015,75.783051,59.117706,"8,042.50",1.859,56.24,,
20-04-2015,76.602623,59.328552,"8,047.40",1.913,56.72,,
21-04-2015,76.213699,59.083698,"8,139.70",1.842,55.73,,
22-04-2015,76.053925,59.478168,"8,104.30",1.899,56.41,,
23-04-2015,76.380394,59.532558,"8,019.50",1.887,55.57,,
24-04-2015,76.310928,59.144924,"8,091.80",1.906,56.16,,
27-04-2015,76.192856,59.172127,"8,325.10",1.963,57.6,,
28-04-2015,77.179108,59.709377,"8,360.40",1.949,57.16,,
29-04-2015,77.602814,59.756977,"8,316.00",1.93,56.95,,
30-04-2015,77.137444,59.416939,"8,228.70",1.9,57.03,,
01-05-2015,75.734436,60.423424,"8,040.40",1.89,58.5,,
04-05-2015,75.23436,60.600258,"7,980.60",1.895,59.47,,
05-05-2015,75.0121,60.260235,"7,795.60",1.865,59.13,,
06-05-2015,74.977379,59.974609,"7,956.10",1.886,58.93,,
07-05-2015,74.713417,59.573368,"7,823.80",1.911,60.4,,
08-05-2015,75.463562,60.518635,"7,918.10",1.982,60.95,,
11-05-2015,74.567574,59.503822,"7,830.20",1.954,59,,
12-05-2015,74.706497,59.668396,"7,745.20",1.914,59.42,,
13-05-2015,74.803757,59.352982,"7,758.20",1.926,59.25,,
14-05-2015,75.324638,59.634106,"7,790.60",2.003,60.66,,
15-05-2015,75.780594,59.89465,"7,572.50",2.046,60.43,,
18-05-2015,74.812584,59.551834,"7,567.00",2.035,59.84,,
19-05-2015,73.669167,59.64782,"7,736.40",2.112,59.69,,
20-05-2015,73.830513,59.74382,"7,694.00",2.146,59.45,,
21-05-2015,73.998848,59.798672,"7,528.30",2.182,57.3,,
22-05-2015,73.57798,59.325554,"7,530.20",2.252,58.98,,
26-05-2015,72.45562,58.5233,"7,456.20",2.178,60.72,,
27-05-2015,72.329353,58.358723,"7,507.10",2.142,59.68,,
28-05-2015,72.42054,58.358723,"7,448.30",2.287,58.05,,
29-05-2015,72.25219,58.420444,"7,590.60",2.247,57.55,,
01-06-2015,71.99263,58.37244,"7,509.00",2.295,57.69,,
02-06-2015,71.957573,58.379292,"7,379.30",2.235,60.31,,
03-06-2015,71.669952,58.249012,"7,503.00",2.148,60.22,,
04-06-2015,71.122795,57.748478,"7,456.30",2.234,61.32,,
05-06-2015,71.263092,57.789616,"7,500.80",2.29,59.66,,
08-06-2015,70.442375,58.180439,"7,615.50",2.257,58.02,,
09-06-2015,70.442375,57.995304,"7,530.20",2.195,59.09,,
10-06-2015,71.431442,58.427303,"7,424.70",2.215,58.13,,
11-06-2015,70.933403,58.345013,"7,421.60",2.204,60.14,,
12-06-2015,70.056564,57.61134,"7,527.50",2.142,61.43,,
15-06-2015,69.649712,57.405621,"7,427.90",2.13,60.74,,
16-06-2015,70.175819,58.063881,"7,400.00",2.135,59.97,,
17-06-2015,69.979393,58.098179,"7,284.60",2.123,59.53,,
18-06-2015,70.323112,58.612453,"7,332.70",2.123,59.99,,
19-06-2015,69.77597,58.427303,"7,466.30",2.183,59.83,,
22-06-2015,70.351166,58.399887,"7,382.50",2.266,60.42,,
23-06-2015,70.210869,58.331303,"7,333.60",2.361,59.66,,
24-06-2015,69.635689,58.063881,"7,290.90",2.309,60.01,,
25-06-2015,68.983299,57.549633,"7,051.80",2.409,61.01,,
26-06-2015,69.165688,57.501629,"7,100.90",2.382,60.27,,
29-06-2015,67.825867,56.788521,"6,866.00",2.442,59.73,,
30-06-2015,67.671532,57.049068,"6,840.00",2.486,59.66,,
